#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 198269:2807 | 07/04/12 20:16:54 | 196  | 196  | 25488305.014   | 25104039.182  |
| 198271:2807 | 07/04/12 21:39:48 | 784  | 784  | 75426118.706   | 74559399.403  |
| 198272:2807 | 07/05/12 02:51:52 | 603  | 603  | 41158933.688   | 40698705.918  |
| 198346:2810 | 07/05/12 17:12:18 | 4    | 4    | 448396.869     | 390974.425    |
| 198372:2812 | 07/05/12 23:33:42 | 54   | 54   | 6923695.774    | 6711103.182   |
| 198485:2816 | 07/07/12 13:40:36 | 167  | 167  | 21392928.611   | 21098934.044  |
| 198487:2816 | 07/07/12 15:02:28 | 1596 | 1596 | 129534505.225  | 128101223.778 |
| 198522:2819 | 07/08/12 15:43:26 | 142  | 142  | 18054593.126   | 17703152.531  |
| 198941:2840 | 07/13/12 19:27:14 | 178  | 178  | 22583971.673   | 22227239.673  |
| 198954:2842 | 07/14/12 03:11:33 | 168  | 168  | 20220886.975   | 19893181.846  |
| 198955:2842 | 07/14/12 04:23:52 | 1524 | 1524 | 119709153.567  | 118401287.161 |
| 198969:2843 | 07/14/12 17:19:30 | 1180 | 1180 | 110722962.099  | 109510538.796 |
| 199008:2847 | 07/15/12 13:46:24 | 558  | 558  | 62450186.451   | 61370094.853  |
| 199011:2847 | 07/15/12 17:30:38 | 23   | 23   | 2137337.013    | 2117819.892   |
| 199021:2848 | 07/15/12 20:20:49 | 1420 | 1420 | 129081464.531  | 127429366.863 |
| 199318:2858 | 07/20/12 02:46:36 | 74   | 74   | 10525663.831   | 10181141.660  |
| 199319:2858 | 07/20/12 03:20:52 | 972  | 972  | 100085808.762  | 98671626.315  |
| 199336:2858 | 07/20/12 09:57:20 | 968  | 968  | 62692232.941   | 62222143.462  |
| 199356:2861 | 07/20/12 23:42:58 | 132  | 132  | 17625599.339   | 17324500.767  |
| 199409:2870 | 07/21/12 20:36:48 | 1267 | 1267 | 113042123.932  | 111670395.857 |
| 199428:2871 | 07/22/12 07:51:57 | 575  | 575  | 62201844.458   | 61179702.000  |
| 199429:2871 | 07/22/12 11:45:12 | 146  | 146  | 12449627.849   | 12310050.052  |
| 199435:2872 | 07/22/12 15:08:32 | 1527 | 1527 | 129700512.750  | 128107140.336 |
| 199436:2872 | 07/23/12 01:16:35 | 742  | 742  | 37384393.158   | 37076969.490  |
| 199564:2873 | 07/23/12 18:18:27 | 3    | 3    | 401368.647     | 391114.910    |
| 199569:2873 | 07/23/12 20:03:34 | 363  | 363  | 36668036.906   | 36206840.723  |
| 199570:2873 | 07/23/12 22:28:09 | 17   | 17   | 1535004.557    | 1465958.687   |
| 199571:2873 | 07/23/12 22:38:03 | 558  | 558  | 44088230.528   | 43486792.151  |
| 199572:2873 | 07/24/12 02:18:49 | 317  | 317  | 20689418.735   | 20441642.607  |
| 199573:2873 | 07/24/12 04:23:07 | 22   | 22   | 1339655.055    | 1313872.008   |
| 199574:2873 | 07/24/12 04:35:09 | 242  | 242  | 13949173.403   | 13857993.683  |
| 199608:2875 | 07/24/12 13:47:05 | 2343 | 2343 | 172779183.033  | 171040267.021 |
| 199698:2880 | 07/26/12 00:15:48 | 55   | 55   | 6676043.935    | 6544588.488   |
| 199699:2880 | 07/26/12 00:43:46 | 751  | 751  | 70372328.956   | 69416892.928  |
| 199703:2880 | 07/26/12 05:55:45 | 525  | 525  | 34130919.563   | 33870402.699  |
| 199739:2882 | 07/26/12 17:15:20 | 68   | 68   | 8482059.751    | 8363184.550   |
| 199751:2884 | 07/27/12 00:32:52 | 24   | 24   | 2969496.483    | 2857617.259   |
| 199752:2884 | 07/27/12 00:57:50 | 316  | 316  | 33670938.161   | 33043255.284  |
| 199753:2884 | 07/27/12 03:06:01 | 59   | 59   | 5603227.049    | 5486102.984   |
| 199754:2884 | 07/27/12 03:35:08 | 990  | 990  | 70840048.412   | 70131026.231  |
| 199804:2886 | 07/27/12 19:15:08 | 543  | 543  | 58586852.566   | 57907853.263  |
| 199812:2887 | 07/28/12 01:24:14 | 693  | 693  | 72680538.059   | 71643265.825  |
| 199832:2888 | 07/28/12 12:43:55 | 223  | 223  | 28793439.359   | 26614748.219  |
| 199833:2888 | 07/28/12 14:18:47 | 1227 | 1227 | 104998299.138  | 103409704.857 |
| 199834:2888 | 07/28/12 22:22:31 | 927  | 927  | 47396901.586   | 47020319.003  |
| 199862:2891 | 07/29/12 14:06:27 | 83   | 83   | 11150838.358   | 10852586.192  |
| 199864:2891 | 07/29/12 14:45:14 | 478  | 478  | 52642063.468   | 51606590.774  |
| 199867:2891 | 07/29/12 17:57:02 | 316  | 316  | 27522676.181   | 27131575.760  |
| 199868:2891 | 07/29/12 20:06:03 | 21   | 21   | 1592601.130    | 1578919.605   |
| 199875:2892 | 07/30/12 00:31:56 | 264  | 264  | 33304616.809   | 32020090.444  |
| 199876:2892 | 07/30/12 02:18:41 | 366  | 366  | 36911284.231   | 36480596.314  |
| 199877:2892 | 07/30/12 04:48:50 | 868  | 868  | 63550901.684   | 62996803.265  |
| 199960:2893 | 07/30/12 19:24:14 | 397  | 397  | 46736414.044   | 46088751.752  |
| 199961:2893 | 07/30/12 22:08:25 | 286  | 286  | 26829617.586   | 26491794.359  |
| 199967:2894 | 07/31/12 02:42:28 | 137  | 137  | 17634569.629   | 16989895.290  |
| 199973:2896 | 07/31/12 07:19:00 | 17   | 17   | 2253951.143    | 2190239.699   |
| 200041:2898 | 07/31/12 15:23:03 | 1012 | 1012 | 100225929.587  | 98866892.245  |
| 200042:2898 | 07/31/12 23:05:01 | 535  | 535  | 32655984.462   | 32365080.773  |
| 200049:2898 | 08/01/12 03:25:38 | 177  | 177  | 8737774.018    | 8690422.467   |
| 200075:2900 | 08/01/12 12:01:32 | 498  | 498  | 56169029.470   | 55471662.652  |
| 200091:2902 | 08/01/12 19:34:04 | 1611 | 1611 | 141960231.824  | 140322517.897 |
| 200152:2905 | 08/02/12 20:23:50 | 43   | 43   | 5559340.647    | 5393087.258   |
